date,day_name,fiscal_week,fiscal_month,fiscal_year,quarter
2024-01-01,Senin,1,1,2024,1
2024-01-02,Selasa,1,1,2024,1
2024-01-03,Rabu,1,1,2024,1
2024-01-04,Kamis,1,1,2024,1
2024-01-05,Jumat,1,1,2024,1
2024-01-06,Sabtu,1,1,2024,1
2024-01-07,Minggu,1,1,2024,1
2024-01-08,Senin,2,1,2024,1
2024-01-09,Selasa,2,1,2024,1
2024-01-10,Rabu,2,1,2024,1
2024-01-11,Kamis,2,1,2024,1
2024-01-12,Jumat,2,1,2024,1
2024-01-13,Sabtu,2,1,2024,1
2024-01-14,Minggu,2,1,2024,1
2024-01-15,Senin,3,1,2024,1
2024-01-16,Selasa,3,1,2024,1
2024-01-17,Rabu,3,1,2024,1
2024-01-18,Kamis,3,1,2024,1
2024-01-19,Jumat,3,1,2024,1
2024-01-20,Sabtu,3,1,2024,1
2024-01-21,Minggu,3,1,2024,1
2024-01-22,Senin,4,1,2024,1
2024-01-23,Selasa,4,1,2024,1
2024-01-24,Rabu,4,1,2024,1
2024-01-25,Kamis,4,1,2024,1
2024-01-26,Jumat,4,1,2024,1
2024-01-27,Sabtu,4,1,2024,1
2024-01-28,Minggu,4,1,2024,1
2024-01-29,Senin,5,1,2024,1
2024-01-30,Selasa,5,1,2024,1
2024-01-31,Rabu,5,1,2024,1
